code,name
0123,PRINCIPAL FTSE ASEAN 40 MALAYSIA ETF 0822EA 2 734 PRINCIPAL FTSE CHINA 50 ETF 0823EA 2 735 PRIVASIA TECHNOLOGY BERHAD
0126,MICROLINK SOLUTIONS BERHAD
0127,JHM CONSOLIDATION BERHAD
0128,FRONTKEN CORPORATION BERHAD
0129,SILVER RIDGE HOLDINGS BHD
0131,DIVFEX BERHAD
0132,TECHNODEX BHD
0133,SANICHI TECHNOLOGY BERHAD
0136,GREENYIELD BERHAD
0138,MY E.G. SERVICES BERHAD
0140,XOX NETWORKS BERHAD
0143,KEY ASIC BERHAD
0145,TFP SOLUTIONS BERHAD
0146,JF TECHNOLOGY BERHAD
0147,INNITY CORPORATION BERHAD
0148,SUNZEN BIOTECH BERHAD
0149,FIBON BERHAD
0150,FINTEC GLOBAL BERHAD
0151,KELINGTON GROUP BERHAD
0152,DGB ASIA BERHAD
0153,OVERSEA ENTERPRISE BERHAD
0154,EA HOLDINGS BERHAD
0155,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD
0156,MANAGEPAY SYSTEMS BERHAD
0157,FOCUS POINT HOLDINGS BERHAD
0158,SCC HOLDINGS BERHAD
0159,ASIA MEDIA GROUP BERHAD
0160,HIAP HUAT HOLDINGS BERHAD
0161,HEXTAR INDUSTRIES BERHAD
0162,WIDAD GROUP BERHAD
0163,CAREPLUS GROUP BERHAD
0165,XOX BHD
0166,INARI AMERTRON BERHAD
0167,MCLEAN TECHNOLOGIES BERHAD
0168,BM GREENTECH BERHAD
0169,SMTRACK BERHAD
0170,KANGER INTERNATIONAL BERHAD
0171,PETERLABS HOLDINGS BERHAD
0172,OCK GROUP BERHAD
0173,CATCHA DIGITAL BERHAD
0174,EVD BERHAD
0175,HHRG BERHAD
0176,KRONOLOGI ASIA BERHAD
0177,PASUKHAS GROUP BERHAD
0178,SEDANIA INNOVATOR BERHAD
0179,BIOALPHA HOLDINGS BERHAD
0180,KIM TECK CHEONG CONSOLIDATED BERHAD
0181,AEMULUS HOLDINGS BERHAD
0182,LKL INTERNATIONAL BERHAD
0183,SALUTICA BERHAD
0185,HSS ENGINEERS BERHAD
0186,PERAK TRANSIT BERHAD
0187,BCM ALLIANCE BERHAD
0188,HLT GLOBAL BERHAD
0189,MATANG BERHAD
0190,EVERSAFE RUBBER BERHAD
0191,CABNET HOLDINGS BERHAD
0192,INTA BINA GROUP BERHAD
0193,KINERGY ADVANCEMENT BERHAD
0195,BINASAT COMMUNICATIONS BERHAD
0196,QES GROUP BERHAD
0197,WEGMANS HOLDINGS BERHAD
0198,GDB HOLDINGS BERHAD
0199,TRI-MODE SYSTEM (M) BERHAD
0200,REVENUE GROUP BERHAD
0201,NOVA WELLNESS GROUP BERHAD
0202,RADIANT GLOBALTECH BERHAD
0203,SECUREMETRIC BERHAD
0205,DPI HOLDINGS BERHAD
0206,GAGASAN NADI CERGAS BERHAD
0207,MESTRON HOLDINGS BERHAD
0208,GREATECH TECHNOLOGY BERHAD
0209,AIMFLEX BERHAD
0210,KIM HIN JOO (MALAYSIA) BERHAD
0211,TASHIN HOLDINGS BERHAD
0212,SDS GROUP BERHAD
0213,MTAG GROUP BERHAD
0215,SOLARVEST HOLDINGS BERHAD
0216,SPRING ART HOLDINGS BERHAD
0217,POWERWELL HOLDINGS BERHAD
0218,ACO GROUP BERHAD
0219,RESERVOIR LINK ENERGY BHD
0220,OCEAN VANTAGE HOLDINGS BERHAD
0221,TCS GROUP HOLDINGS BERHAD
0222,OPTIMAX HOLDINGS BERHAD
0223,SAMAIDEN GROUP BERHAD
0225,SOUTHERN CABLE GROUP BERHAD
0226,ANEKA JARINGAN HOLDINGS BERHAD
0227,ECONFRAME BERHAD
0228,HPP HOLDINGS BERHAD
0229,MOBILIA HOLDINGS BERHAD
0230,TELADAN GROUP BERHAD
0231,FLEXIDYNAMIC HOLDINGS BERHAD
0232,VOLCANO BERHAD
0233,PEKAT GROUP BERHAD
0235,NESTCON BERHAD
0236,RAMSSOL GROUP BERHAD
0237,HAILY GROUP BERHAD
0238,CEKD BERHAD
0239,ECOMATE HOLDINGS BERHAD
0240,CORAZA INTEGRATED TECHNOLOGY BERHAD
0241,SIAB HOLDINGS BERHAD
0242,PAPPAJACK BERHAD
0243,CENGILD MEDICAL BERHAD
0245,MN HOLDINGS BERHAD
0246,CNERGENZ BERHAD
0247,UNITRADE INDUSTRIES BERHAD
0248,YEW LEE PACIFIC GROUP BERHAD
0249,LGMS BERHAD
0250,YX PRECIOUS METALS BHD
0251,SFP TECH HOLDINGS BERHAD
0252,ORGABIO HOLDINGS BERHAD
0253,INFOLINE TEC GROUP BERHAD
0255,ECOSCIENCE INTERNATIONAL BERHAD
0256,UMEDIC GROUP BERHAD
0257,UNIQUE FIRE HOLDINGS BERHAD
0258,AGMO HOLDINGS BERHAD
0259,SNS NETWORK TECHNOLOGY BERHAD
0260,PT RESOURCES HOLDINGS BERHAD
0261,COSMOS TECHNOLOGY INTERNATIONAL BERHAD
0262,SUNVIEW GROUP BERHAD
0263,BETAMEK BERHAD
0265,INFOMINA BERHAD
0266,LEFORM BERHAD
0267,ECA INTEGRATED SOLUTION BERHAD
0268,L&P GLOBAL BERHAD
0269,DS SIGMA HOLDINGS BERHAD
0270,NATIONGATE HOLDINGS BERHAD
0271,WELLSPIRE HOLDINGS BERHAD
0272,TT VISION HOLDINGS BERHAD
0273,VESTLAND BERHAD
0275,OPPSTAR BERHAD
0276,AUTOCOUNT DOTCOM BERHAD
0277,CLOUDPOINT TECHNOLOGY BERHAD
0278,EDELTEQ HOLDINGS BERHAD
0279,SYNERGY HOUSE BERHAD
0280,MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25 0821EA 2 615 MYETF DOW JONES U.S. TITANS 50 0827EA 2 616 MYETF MSCI MALAYSIA ISLAMIC DIVIDEND 0824EA 2 617 MYETF MSCI SEA ISLAMIC DIVIDEND 0825EA 2 618 MYMBN BERHAD
0281,DAYTHREE DIGITAL BERHAD
0282,KGW GROUP BERHAD
0283,DC HEALTHCARE HOLDINGS BERHAD
0284,GLOSTREXT BERHAD
0285,MERCURY SECURITIES GROUP BERHAD
0286,EVERGREEN MAX CASH CAPITAL BERHAD
0287,SSF HOME GROUP BERHAD
0288,MINOX INTERNATIONAL GROUP BERHAD
0289,PLYTEC HOLDING BERHAD
0290,PANDA ECO SYSTEM BERHAD
0291,CRITICAL HOLDINGS BERHAD
0292,JATI TINGGI GROUP BERHAD
0293,KJTS Group Berhad
0295,Master Tec Group Berhad
0296,HE Group Berhad
0297,TSA Group Berhad
0298,Wentel Engineering Holdings Berhad
0299,AGX Group Berhad
0300,SBH Marine Holdings Berhad
03001,CLOUDARON GROUP BERHAD
03002,RED IDEAS HOLDINGS BERHAD
03005,METRO HEALTHCARE BERHAD
03006,NOVA PHARMA SOLUTIONS BERHAD
03008,SL INNOVATION CAPITAL BERHAD
03009,SEERS BERHAD
0301,Zantat Holdings Berhad
03011,AMLEX HOLDINGS BERHAD
03012,BABA ECO GROUP BERHAD
03013,TOPVISION EYE SPECIALIST BERHAD
03015,MANFORCE GROUP BERHAD
03016,CARLO RINO GROUP BERHAD
03017,UNI WALL APS HOLDINGS BERHAD
03018,SUPREME CONSOLIDATED RESOURCES BERHAD
03019,MATRIX PARKING SOLUTION HOLDINGS BERHAD
0302,Topmix Berhad
03021,EQUITIESTRACKER HOLDINGS BERHAD
03022,MCOM HOLDINGS BERHAD
03023,SMILE-LINK HEALTHCARE GLOBAL BERHAD
03024,CE TECHNOLOGY BERHAD
03025,ENEST GROUP BERHAD
03026,FIBROMAT (M) BERHAD
03027,MMIS BERHAD
03028,GO INNOVATE ASIA BERHAD
03029,GPP RESOURCES BERHAD
0303,Alpha IVF Group Berhad
03030,IDB TECHNOLOGIES BERHAD
03031,POLYDAMIC GROUP BERHAD
03032,ASTRAMINA GROUP BERHAD
03033,SUPERGENICS BERHAD
03036,REDPLANET BERHAD
03037,AURORA ITALIA INTERNATIONAL BERHAD
03038,ICT ZONE ASIA BERHAD
03039,RTS TECHNOLOGY HOLDINGS BERHAD
0304,Farm Price Holdings Berhad
03040,JISHAN BERHAD
03041,ONETECH SOLUTIONS HOLDINGS BERHAD
03042,BV LAND HOLDINGS BERHAD
03043,UCI RESOURCES BERHAD
03045,NOVELPLUS TECHNOLOGY BERHAD
03046,DYNAFRONT HOLDINGS BERHAD
03047,LIM SEONG HAI CAPITAL BERHAD
03048,CARZO HOLDINGS BERHAD
03049,STEEL HAWK BERHAD
0305,Sin-Kung Logistics Berhad
03050,SUNMOW HOLDING BERHAD
03051,ALPHA OCEAN RESOURCES BERHAD
03052,RAY GO SOLAR HOLDINGS BERHAD
03053,CC INTERNATIONAL BERHAD
03054,SNOWFIT GROUP BERHAD
03055,DSR TAIKO BERHAD
03056,SAFETYWARE GROUP BERHAD
03057,SANCY BERHAD
03058,Total Dynamic Holdings Berhad
03059,Autoris Group Holdings Berhad
0306,Smart Asia Chemical Bhd
03060,Hydropipes Berhad
03061,TP TEC Holding Berhad
03062,TSIC Berhad
03063,Ping Edge Technology Berhad
03064,MyAxis Group Berhad
03065,LPC Group Berhad
03066,Croesus IT Holdings Berhad
03067,Associated Air-Pak Industries Berhad
03068,Bentley Music Group Berhad
03069,BIMOffice Group Berhad
0307,Kawan Renergy Berhad
03070,Whitman Holdings Berhad
03071,Noesis Exed Berhad
03072,Milolo Berhad
03073,Esys Holdings Berhad
0308,KTI Landmark Berhad
0309,Agricore CS Holdings Berhad
0310,UUE Holdings Berhad
0311,Go Hub Capital Berhad
0312,Ocean Fresh Berhad
0313,BWYS Group Berhad
0315,Kucingko Berhad
0316,Sik Cheong Berhad
0317,EPB Group Berhad
0318,Elridge Energy Holdings Berhad
0319,VETECE Holdings Berhad
0320,Steel Hawk Berhad
0321,Solar District Cooling Group Berhad
0322,KHPT Holdings Berhad
0323,Crest Group Berhad
0325,Northeast Group Berhad
0326,Sorento Capital Berhad
0327,OB Holdings Berhad
0328,3REN Berhad
0329,Metro Healthcare Berhad
0330,Supreme Consolidated Resources Berhad
0331,Cropmate Berhad
0332,Topvision Eye Specialist Berhad
0333,Vanzo Holdings Berhad
0335,Carlo Rino Group Berhad
0336,Winstar Capital Berhad
0337,Swift Energy Technology Berhad
0338,Oriental Kopi Holdings Berhad
0339,CBH Engineering Holding Berhad
0340,Northern Solar Holdings Berhad
0341,Colform Group Berhad
0342,RichTech Digital Berhad
0343,TechStore Berhad
0345,ES Sunlogy Berhad
0346,Saliran Group Berhad
0347,Wawasan Dengkil Holdings Berhad
0348,Chemlite Innovation Berhad
0349,Sumisaujana Group Berhad
0350,MSB Global Group Berhad
0351,Lim Seong Hai Capital Berhad
0352,WTEC Group Berhad
0353,West River Berhad
0355,Fibromat (M) Berhad
0356,Peoplelogy Berhad
0357,Oasis Home Holding Berhad
0358,ICT Zone Asia Berhad
0359,Hartanah Kenyalang Berhad
0360,Signature Alliance Group Berhad
0361,Pan Merchant Berhad
0362,ASM Automation Group Berhad
0363,PMCK Berhad
0365,A1 A.K. Koh Group Berhad
0366,iCents Group Holdings Berhad
0367,Enproserve Group Berhad
0368,Oxford Innotech Berhad
0369,JS Solar Holding Berhad
0370,Express Powerr Solutions (M) Bhd
0371,Camaroe Berhad
0372,Cheeding Holdings Berhad
0373,Verdant Solar Holdings Bhd
0375,THMY Holdings Berhad
0376,Insights Analytics Berhad
0377,Powertechnic Group Berhad
0378,Farmiera Berhad
0379,PMW International Berhad
0380,Aquawalk Group Berhad
0381,Polymer Link Holdings Berhad
0382,Foodie Media Berhad
0383,PSP Energy Berhad
0385,BMS Holdings Berhad
0386,SBS Nexus Berhad
0387,Guan Huat Seng Holdings Berhad
0388,Semico Capital Berhad
0389,One Gasmaster Holdings Berhad
0390,ISF Group Berhad
0391,Ambest Group Berhad
0392,Kee Ming Group Berhad
0393,Teamstar Berhad
0395,OGX Group Berhad
0396,Adnex Group Berhad
0397,5E Resources Holdings Berhad
0398,Golden Destinations Group Berhad
0399,AMS Advanced Material Berhad
0450,Manforce Group Berhad
0451,Inspace Creation Berhad
0452,Gold Li Holdings Berhad
0453,EI Power Berhad
0455,Bus Cap Berhad
0456,MM Computer Systems Berhad
0457,Pentech Holdings Berhad
0458,Elsa Berhad
0459,Sum Technology Berhad
0460,HSS Holdings Berhad
0461,RT Pastry Holdings Berhad
0462,Liftech Group Sdn Bhd
0463,Eckem Holdings Berhad
0465,RNG Tech Berhad
0466,SRKK AI Berhad
0467,Enest Group Berhad
0468,UNIPAC
0469,GTA Holdings Berhad
0470,BFIELD
0471,PIONEER
1015,AMMB HOLDINGS BERHAD
1023,CIMB GROUP HOLDINGS BERHAD
1058,MANULIFE HOLDINGS BERHAD
1066,RHB BANK BERHAD
1082,HONG LEONG FINANCIAL GROUP BERHAD
1147,GLOBAL ORIENTAL BERHAD
1155,MALAYAN BANKING BERHAD
1163,ALLIANZ MALAYSIA BERHAD
1171,MALAYSIA BUILDING SOCIETY BERHAD
1198,MAA GROUP BERHAD
1287,PAN MALAYSIA HOLDINGS BERHAD
1295,PUBLIC BANK BERHAD
1368,UEM EDGENTA BERHAD
1481,ADVANCE SYNERGY BERHAD
1503,GUOCOLAND (MALAYSIA) BERHAD
1538,SYMPHONY LIFE BERHAD
1562,SPORTS TOTO BERHAD
1589,ISKANDAR WATERFRONT CITY BERHAD
1619,DRB-HICOM BERHAD
1643,LANDMARKS BERHAD
1651,MALAYSIAN RESOURCES CORPORATION BERHAD
1694,MENANG CORPORATION (M) BERHAD
1724,PARAMOUNT CORPORATION BERHAD
1818,BURSA MALAYSIA BERHAD
1899,BATU KAWAN BERHAD
1902,PINEHILL PACIFIC BERHAD
1929,CHIN TECK PLANTATIONS BERHAD
1961,IOI CORPORATION BERHAD
1996,KRETAM HOLDINGS BERHAD
2038,NEGRI SEMBILAN OIL PALMS BERHAD
2054,TDM BERHAD
2062,HARBOUR-LINK GROUP BERHAD
2089,UNITED PLANTATIONS BERHAD
2097,META BRIGHT GROUP BERHAD
2127,COMFORT GLOVES BERHAD
2135,GOPENG BERHAD
2143,ECM LIBRA GROUP BERHAD
2186,KUCHAI DEVELOPMENT BERHAD
2224,SELANGOR DREDGING BERHAD
2259,TALAM TRANSFORM BERHAD
2283,ZELAN BERHAD
2291,GENTING PLANTATIONS BERHAD
2305,AYER HOLDINGS BERHAD
2429,TANCO HOLDINGS BERHAD
2445,KUALA LUMPUR KEPONG BERHAD
2453,KLCC PROPERTY HOLDINGS BERHAD 5235SS 1 463 KLCC REAL ESTATE INVESTMENT TRUST 5235SS 1 464 KLUANG RUBBER COMPANY (MALAYA) BERHAD
2488,ALLIANCE BANK MALAYSIA BERHAD
2542,RIVERVIEW RUBBER ESTATES BERHAD
2569,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD
2593,UNITED MALACCA BERHAD
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO
2658,AJINOMOTO (MALAYSIA) BERHAD
2674,ALCOM GROUP BERHAD
2682,PARKWOOD HOLDINGS BERHAD
2739,TECHNA-X BERHAD
2755,FCW HOLDINGS BERHAD
2828,C.I. HOLDINGS BERHAD
2836,CARLSBERG BREWERY MALAYSIA BERHAD
2852,CAHYA MATA SARAWAK BERHAD
2984,FACB INDUSTRIES INCORPORATED BERHAD
3018,OLYMPIA INDUSTRIES BERHAD
3026,DUTCH LADY MILK INDUSTRIES BERHAD
3034,HAP SENG CONSOLIDATED BERHAD
3042,PETRON MALAYSIA REFINING & MARKETING BHD
3069,MEGA FIRST CORPORATION BERHAD
3107,FIMA CORPORATION BERHAD
3158,YNH PROPERTY BERHAD
3174,LAND & GENERAL BERHAD
3182,GENTING BERHAD
3204,GEORGE KENT (MALAYSIA) BERHAD
3239,BERJAYA ASSETS BERHAD
3247,GUH HOLDINGS BERHAD
3255,HEINEKEN MALAYSIA BERHAD
3298,HEXZA CORPORATION BERHAD
3301,HONG LEONG INDUSTRIES BERHAD
3336,IJM CORPORATION BERHAD
3379,INSAS BERHAD
3395,BERJAYA CORPORATION BERHAD
3417,EASTERN & ORIENTAL BERHAD
3441,JOHAN HOLDINGS BERHAD
3476,KECK SENG (MALAYSIA) BERHAD
3514,MARCO HOLDINGS BERHAD
3557,ECOFIRST CONSOLIDATED BHD
3565,WCE HOLDINGS BERHAD
3573,LIEN HOE CORPORATION BERHAD
3611,PARAGON GLOBE BERHAD
3662,MALAYAN FLOUR MILLS BERHAD
3689,FRASER & NEAVE HOLDINGS BHD
3719,PANASONIC MANUFACTURING MALAYSIA BERHAD
3743,SUNSURIA BERHAD
3778,MELEWAR INDUSTRIAL GROUP BERHAD
3794,MALAYAN CEMENT BERHAD
3816,MISC BERHAD
3859,MAGNUM BERHAD
3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD
3883,MUDA HOLDINGS BERHAD
3891,MALAYAN UNITED INDUSTRIES BERHAD
3905,MULPHA INTERNATIONAL BERHAD
3913,MUI PROPERTIES BERHAD
3948,DUTALAND BERHAD
4006,ORIENTAL HOLDINGS BERHAD
4022,MAXIM GLOBAL BERHAD
4057,ASIAN PAC HOLDINGS BERHAD
4065,PPB GROUP BERHAD
4081,PAN MALAYSIA CORPORATION BERHAD
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD
4197,SIME DARBY BERHAD
4219,BERJAYA LAND BERHAD
4235,LION INDUSTRIES CORPORATION BERHAD
4243,WTK HOLDINGS BERHAD
4251,I-BERHAD
4286,SEAL INCORPORATED BERHAD
4316,SIN HENG CHAN (MALAYA) BERHAD
4324,HENGYUAN REFINING COMPANY BERHAD
4359,TURIYA BERHAD
4375,SOUTH MALAYSIA INDUSTRIES BERHAD
4383,JAYA TIASA HOLDINGS BHD
4405,TAN CHONG MOTOR HOLDINGS BERHAD
4456,DAGANG NEXCHANGE BERHAD
4464,PEGASUS HEIGHTS BERHAD
4502,MEDIA PRIMA BERHAD
4588,UMW HOLDINGS BERHAD
4596,SAPURA RESOURCES BERHAD
4634,POS MALAYSIA BERHAD
4677,YTL CORPORATION BERHAD
4707,NESTLE (MALAYSIA) BERHAD
4715,GENTING MALAYSIA BERHAD
4723,JAKS RESOURCES BERHAD
4731,SCIENTEX BERHAD
4758,ANCOM NYLEX BERHAD
4847,EPICON BERHAD
4863,TELEKOM MALAYSIA BERHAD
4936,MALPAC HOLDINGS BERHAD
4944,NYLEX (MALAYSIA) BERHAD
4995,VERSATILE CREATIVE BERHAD
5000,HUME CEMENT INDUSTRIES BERHAD
5001,MIECO CHIPBOARD BERHAD
5005,UNISEM (M) BERHAD
5006,VARIA BERHAD
5007,CHIN WELL HOLDINGS BERHAD
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD
5009,WHITE HORSE BERHAD
5010,TONG HERR RESOURCES BERHAD
5011,MESINIAGA BERHAD
5012,TA ANN HOLDINGS BERHAD
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD
5015,APM AUTOMOTIVE HOLDINGS BERHAD
5016,WARISAN TC HOLDINGS BERHAD
5020,GLOMAC BERHAD
5021,AYS VENTURES BERHAD
5022,PAOS HOLDINGS BERHAD
5024,HUP SENG INDUSTRIES BERHAD
5025,AURO HOLDINGS BERHAD
5026,MHC PLANTATIONS BHD
5027,KIM LOONG RESOURCES BERHAD
5028,HEITECH PADU BERHAD
5029,FAR EAST HOLDINGS BERHAD
5031,TIME DOTCOM BERHAD
5032,BINTULU PORT HOLDINGS BERHAD
5035,KNUSFORD BERHAD
5036,EDARAN BERHAD
5037,COMPUGATES HOLDINGS BERHAD
5038,KSL HOLDINGS BERHAD
5040,MERIDIAN BERHAD
5041,PBA HOLDINGS BHD
5042,TSR CAPITAL BERHAD
5047,NPC RESOURCES BERHAD
5048,YB VENTURES BERHAD
5049,COUNTRY VIEW BERHAD
5053,OSK HOLDINGS BERHAD
5054,TRC SYNERGY BERHAD
5056,ENGTEX GROUP BERHAD
5062,HUA YANG BERHAD
5065,ORNAPAPER BERHAD
5066,NTPM HOLDINGS BERHAD
5068,LUSTER INDUSTRIES BHD.
5069,BLD PLANTATION BHD.
5070,PROTASCO BERHAD
5071,COASTAL CONTRACTS BHD
5072,HIAP TECK VENTURE BERHAD
5073,NAIM HOLDINGS BERHAD
5075,PLENITUDE BERHAD
5077,MALAYSIAN BULK CARRIERS BERHAD
5078,MARINE & GENERAL BERHAD
5079,ONE GLOVE GROUP BERHAD
5080,POH KONG HOLDINGS BERHAD
5081,ESTHETICS INTERNATIONAL GROUP BERHAD
5082,ANNUM BERHAD
5084,IBRACO BERHAD
5085,MUDAJAYA GROUP BERHAD
5087,MYCRON STEEL BERHAD
5088,APEX EQUITY HOLDINGS BERHAD
5090,MEDIA CHINESE INTERNATIONAL LIMITED
5094,CSC STEEL HOLDINGS BERHAD
5095,HEVEABOARD BERHAD
5098,MALAYSIA STEEL WORKS (KL) BHD
5099,CAPITAL A BERHAD
5100,BP PLASTICS HOLDING BHD
5101,EVERGREEN FIBREBOARD BERHAD
5102,GUAN CHONG BERHAD
5104,CITRA NUSA HOLDINGS BERHAD
5105,CAN-ONE BERHAD
5106,AXIS REAL ESTATE INVESTMENT TRUST
5107,IQ GROUP HOLDINGS BERHAD
5108,ICAPITAL.BIZ BERHAD
5109,YTL HOSPITALITY REIT
5110,UOA REAL ESTATE INVESTMENT TRUST
5111,TOWER REAL ESTATE INVESTMENT TRUST
5112,TH PLANTATIONS BERHAD
5113,RIMBUNAN SAWIT BERHAD
5115,ALAM MARITIM RESOURCES BERHAD
5120,AMFIRST REAL ESTATE INVESTMENT TRUST
5121,HEKTAR REAL ESTATE INVESTMENT TRUST
5123,SENTRAL REIT
5125,PANTECH GROUP HOLDINGS BERHAD
5126,SARAWAK OIL PALMS BERHAD
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST
5129,MELATI EHSAN HOLDINGS BERHAD
5130,ATRIUM REAL ESTATE INVESTMENT TRUST
5131,ZHULIAN CORPORATION BERHAD
5132,DELEUM BERHAD
5133,PETRA ENERGY BERHAD
5134,SOUTHERN ACIDS (M) BERHAD
5135,SARAWAK PLANTATION BERHAD
5136,HEXTAR TECHNOLOGIES SOLUTIONS BERHAD
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD
5139,AEON CREDIT SERVICE (M) BERHAD
5140,TASCO BERHAD
5141,DAYANG ENTERPRISE HOLDINGS BERHAD
5142,WASCO BERHAD
5143,LUXCHEM CORPORATION BERHAD
5145,SEALINK INTERNATIONAL BERHAD
5147,SAMCHEM HOLDINGS BERHAD
5148,UEM SUNRISE BERHAD
5149,TAS OFFSHORE BERHAD
5151,HEXTAR GLOBAL BERHAD
5152,MUAR BAN LEE GROUP BERHAD
5156,XIDELANG HOLDINGS LTD
5157,SAUDEE GROUP BERHAD
5159,YOONG ONN CORPORATION BERHAD
5160,HOMERITZ CORPORATION BERHAD
5161,JCY INTERNATIONAL BERHAD
5162,VSTECS BERHAD
5163,SEREMBAN ENGINEERING BERHAD
5165,DFCITY GROUP BERHAD
5166,CYBERJAYA EDUCATION GROUP BERHAD
5167,TURBO-MECH BERHAD
5168,HARTALEGA HOLDINGS BERHAD
5169,HO HUP CONSTRUCTION COMPANY BHD
5170,SARAWAK CABLE BERHAD
5171,KIMLUN CORPORATION BERHAD
5172,SINARAN ADVANCE GROUP BERHAD
5173,SHIN YANG GROUP BERHAD
5175,IVORY PROPERTIES GROUP BERHAD
5176,SUNWAY REAL ESTATE INVESTMENT TRUST
5178,INGENIEUR GUDANG BERHAD
5180,CAPITALAND MALAYSIA TRUST
5182,AVALAND BERHAD
5183,PETRONAS CHEMICALS GROUP BERHAD
5184,CYPARK RESOURCES BERHAD
5185,AFFIN BANK BERHAD
5186,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD
5187,HB GLOBAL LIMITED
5188,CHINA OUHUA WINERY HOLDINGS LIMITED
5190,BENALEC HOLDINGS BERHAD
5191,TAMBUN INDAH LAND BERHAD
5192,K. SENG SENG CORPORATION BERHAD
