CODE,SECTOR
0225,INDUSTRIAL PRODUCTS & SERVICES
0226,CONSTRUCTION
0227,INDUSTRIAL PRODUCTS & SERVICES
0228,INDUSTRIAL PRODUCTS & SERVICES
0229,CONSUMER PRODUCTS & SERVICES
0230,PROPERTY
0231,INDUSTRIAL PRODUCTS & SERVICES
0232,INDUSTRIAL PRODUCTS & SERVICES
0233,ENERGY
0235,CONSTRUCTION
0236,TECHNOLOGY
0237,CONSTRUCTION
0238,INDUSTRIAL PRODUCTS & SERVICES
0239,CONSUMER PRODUCTS & SERVICES
0240,INDUSTRIAL PRODUCTS & SERVICES
0241,CONSTRUCTION
0242,FINANCIAL SERVICES
0243,HEALTH CARE
0245,CONSTRUCTION
0246,TECHNOLOGY
0247,INDUSTRIAL PRODUCTS & SERVICES
0248,INDUSTRIAL PRODUCTS & SERVICES
0249,TECHNOLOGY
0250,CONSUMER PRODUCTS & SERVICES
0251,TECHNOLOGY
0252,CONSUMER PRODUCTS & SERVICES
0253,TECHNOLOGY
0255,INDUSTRIAL PRODUCTS & SERVICES
0256,HEALTH CARE
0257,INDUSTRIAL PRODUCTS & SERVICES
0258,TECHNOLOGY
0259,TECHNOLOGY
0260,CONSUMER PRODUCTS & SERVICES
0261,INDUSTRIAL PRODUCTS & SERVICES
0262,ENERGY
0263,INDUSTRIAL PRODUCTS & SERVICES
0265,TECHNOLOGY
0266,INDUSTRIAL PRODUCTS & SERVICES
0267,TECHNOLOGY
0268,INDUSTRIAL PRODUCTS & SERVICES
0269,INDUSTRIAL PRODUCTS & SERVICES
0270,INDUSTRIAL PRODUCTS & SERVICES
0271,CONSUMER PRODUCTS & SERVICES
0272,TECHNOLOGY
0273,CONSTRUCTION
0275,TECHNOLOGY
0276,TECHNOLOGY
0277,TECHNOLOGY
0278,TECHNOLOGY
0279,CONSUMER PRODUCTS & SERVICES
0280,CONSUMER PRODUCTS & SERVICES
0281,CONSUMER PRODUCTS & SERVICES
0282,TRANSPORTATION & LOGISTICS
0283,HEALTH CARE
0284,INDUSTRIAL PRODUCTS & SERVICES
0285,FINANCIAL SERVICES
0286,FINANCIAL SERVICES
0287,CONSUMER PRODUCTS & SERVICES
0288,INDUSTRIAL PRODUCTS & SERVICES
0289,INDUSTRIAL PRODUCTS & SERVICES
0290,TECHNOLOGY
0291,INDUSTRIAL PRODUCTS & SERVICES
0292,CONSTRUCTION
0293,INDUSTRIAL PRODUCTS & SERVICES
0295,INDUSTRIAL PRODUCTS & SERVICES
0296,INDUSTRIAL PRODUCTS & SERVICES
0297,INDUSTRIAL PRODUCTS & SERVICES
0298,INDUSTRIAL PRODUCTS & SERVICES
0299,TRANSPORTATION & LOGISTICS
0300,CONSUMER PRODUCTS & SERVICES
0301,INDUSTRIAL PRODUCTS & SERVICES
0302,INDUSTRIAL PRODUCTS & SERVICES
0303,HEALTH CARE
0304,CONSUMER PRODUCTS & SERVICES
0305,TRANSPORTATION & LOGISTICS
03058,TECHNOLOGY
03059,FINANCIAL SERVICES
0306,INDUSTRIAL PRODUCTS & SERVICES
03060,INDUSTRIAL PRODUCTS & SERVICES
03061,INDUSTRIAL PRODUCTS & SERVICES
03062,INDUSTRIAL PRODUCTS & SERVICES
03063,CONSUMER PRODUCTS & SERVICES
03064,CONSUMER PRODUCTS & SERVICES
03065,CONSTRUCTION
03066,TECHNOLOGY
03067,INDUSTRIAL PRODUCTS & SERVICES
03068,CONSUMER PRODUCTS & SERVICES
03069,TECHNOLOGY
0307,INDUSTRIAL PRODUCTS & SERVICES
03070,FINANCIAL SERVICES
03071,CONSUMER PRODUCTS & SERVICES
03072,CONSUMER PRODUCTS & SERVICES
03073,CONSTRUCTION
0308,PROPERTY
0309,CONSUMER PRODUCTS & SERVICES
0310,CONSTRUCTION
0311,TECHNOLOGY
0312,CONSUMER PRODUCTS & SERVICES
0313,INDUSTRIAL PRODUCTS & SERVICES
0315,TELECOMMUNICATIONS & MEDIA
0316,CONSUMER PRODUCTS & SERVICES
0317,INDUSTRIAL PRODUCTS & SERVICES
0318,ENERGY
0319,TECHNOLOGY
0320,ENERGY
0321,INDUSTRIAL PRODUCTS & SERVICES
0322,INDUSTRIAL PRODUCTS & SERVICES
0323,INDUSTRIAL PRODUCTS & SERVICES
0325,INDUSTRIAL PRODUCTS & SERVICES
0326,CONSUMER PRODUCTS & SERVICES
0327,CONSUMER PRODUCTS & SERVICES
0328,TECHNOLOGY
0329,HEALTH CARE
0330,CONSUMER PRODUCTS & SERVICES
0331,INDUSTRIAL PRODUCTS & SERVICES
0332,HEALTH CARE
0333,CONSUMER PRODUCTS & SERVICES
0335,CONSUMER PRODUCTS & SERVICES
0336,INDUSTRIAL PRODUCTS & SERVICES
0337,INDUSTRIAL PRODUCTS & SERVICES
0338,CONSUMER PRODUCTS & SERVICES
0339,INDUSTRIAL PRODUCTS & SERVICES
0340,ENERGY
0341,INDUSTRIAL PRODUCTS & SERVICES
0342,CONSUMER PRODUCTS & SERVICES
0343,TECHNOLOGY
0345,CONSTRUCTION
0346,INDUSTRIAL PRODUCTS & SERVICES
0347,CONSTRUCTION
0348,INDUSTRIAL PRODUCTS & SERVICES
0349,INDUSTRIAL PRODUCTS & SERVICES
0350,INDUSTRIAL PRODUCTS & SERVICES
0351,CONSTRUCTION
0352,INDUSTRIAL PRODUCTS & SERVICES
0353,INDUSTRIAL PRODUCTS & SERVICES
0355,INDUSTRIAL PRODUCTS & SERVICES
0356,CONSUMER PRODUCTS & SERVICES
0357,CONSUMER PRODUCTS & SERVICES
0358,TECHNOLOGY
0359,CONSTRUCTION
0360,CONSTRUCTION
0361,INDUSTRIAL PRODUCTS & SERVICES
0362,INDUSTRIAL PRODUCTS & SERVICES
0363,HEALTH CARE
0365,CONSUMER PRODUCTS & SERVICES
0366,INDUSTRIAL PRODUCTS & SERVICES
0367,ENERGY
0368,INDUSTRIAL PRODUCTS & SERVICES
0369,ENERGY
0370,INDUSTRIAL PRODUCTS & SERVICES
0371,CONSUMER PRODUCTS & SERVICES
0372,CONSTRUCTION
0373,ENERGY
0375,TECHNOLOGY
0376,INDUSTRIAL PRODUCTS & SERVICES
0377,INDUSTRIAL PRODUCTS & SERVICES
0378,CONSUMER PRODUCTS & SERVICES
0379,INDUSTRIAL PRODUCTS & SERVICES
0380,CONSUMER PRODUCTS & SERVICES
0381,INDUSTRIAL PRODUCTS & SERVICES
0382,TELECOMMUNICATIONS & MEDIA
0383,INDUSTRIAL PRODUCTS & SERVICES
0385,CONSUMER PRODUCTS & SERVICES
0386,TELECOMMUNICATIONS & MEDIA
0387,CONSUMER PRODUCTS & SERVICES
0388,CONSUMER PRODUCTS & SERVICES
0389,INDUSTRIAL PRODUCTS & SERVICES
0390,INDUSTRIAL PRODUCTS & SERVICES
0391,INDUSTRIAL PRODUCTS & SERVICES
0392,INDUSTRIAL PRODUCTS & SERVICES
0393,CONSUMER PRODUCTS & SERVICES
0395,TECHNOLOGY
0396,CONSTRUCTION
0397,INDUSTRIAL PRODUCTS & SERVICES
0398,CONSUMER PRODUCTS & SERVICES
0399,INDUSTRIAL PRODUCTS & SERVICES
0450,CONSUMER PRODUCTS & SERVICES
0451,CONSTRUCTION
0452,PROPERTY
0453,INDUSTRIAL PRODUCTS & SERVICES
0455,INDUSTRIAL PRODUCTS & SERVICES
0456,TECHNOLOGY
0457,TECHNOLOGY
0458,ENERGY
0459,INDUSTRIAL PRODUCTS & SERVICES
0460,CONSUMER PRODUCTS & SERVICES
0461,CONSUMER PRODUCTS & SERVICES
0462,INDUSTRIAL PRODUCTS & SERVICES
0463,INDUSTRIAL PRODUCTS & SERVICES
0465,CONSUMER PRODUCTS & SERVICES
0466,TECHNOLOGY
0467,CONSUMER PRODUCTS & SERVICES
0468,ENERGY
0469,INDUSTRIAL PRODUCTS & SERVICES
0470,CONSUMER PRODUCTS & SERVICES
0471,INDUSTRIAL PRODUCTS & SERVICES
1015,FINANCIAL SERVICES
1023,FINANCIAL SERVICES
1058,FINANCIAL SERVICES
1066,FINANCIAL SERVICES
1082,FINANCIAL SERVICES
1147,PROPERTY
1155,FINANCIAL SERVICES
1163,FINANCIAL SERVICES
1171,FINANCIAL SERVICES
1198,FINANCIAL SERVICES
1287,CONSUMER PRODUCTS & SERVICES
1295,FINANCIAL SERVICES
1368,HEALTH CARE
1481,CONSUMER PRODUCTS & SERVICES
1503,PROPERTY
1538,PROPERTY
1562,CONSUMER PRODUCTS & SERVICES
1589,PROPERTY
1619,CONSUMER PRODUCTS & SERVICES
1643,CONSUMER PRODUCTS & SERVICES
1651,PROPERTY
1694,PROPERTY
1724,PROPERTY
1818,FINANCIAL SERVICES
1899,PLANTATION
1902,PLANTATION
1929,PLANTATION
1961,PLANTATION
1996,PLANTATION
2038,PLANTATION
2054,PLANTATION
2062,TRANSPORTATION & LOGISTICS
2089,PLANTATION
2097,CONSUMER PRODUCTS & SERVICES
2127,INDUSTRIAL PRODUCTS & SERVICES
2135,PLANTATION
2143,FINANCIAL SERVICES
2186,PROPERTY
2224,PROPERTY
2259,PROPERTY
2283,CONSTRUCTION
2291,PLANTATION
2305,PROPERTY
2429,PROPERTY
2445,PLANTATION
2453,PLANTATION
2488,FINANCIAL SERVICES
2542,PLANTATION
2569,PLANTATION
2593,PLANTATION
2607,PLANTATION
2658,CONSUMER PRODUCTS & SERVICES
2674,INDUSTRIAL PRODUCTS & SERVICES
2682,PROPERTY
2739,ENERGY
2755,CONSUMER PRODUCTS & SERVICES
2828,CONSUMER PRODUCTS & SERVICES
2836,CONSUMER PRODUCTS & SERVICES
2852,INDUSTRIAL PRODUCTS & SERVICES
2984,INDUSTRIAL PRODUCTS & SERVICES
3001,TECHNOLOGY
3002,TECHNOLOGY
3005,HEALTH CARE
3006,HEALTH CARE
3008,TECHNOLOGY
3009,CONSUMER PRODUCTS & SERVICES
3011,TECHNOLOGY
3012,CONSUMER PRODUCTS & SERVICES
3013,HEALTH CARE
3015,INDUSTRIAL PRODUCTS & SERVICES
3016,CONSUMER PRODUCTS & SERVICES
3017,CONSTRUCTION
3018,CONSUMER PRODUCTS & SERVICES
3019,CONSUMER PRODUCTS & SERVICES
3021,CONSUMER PRODUCTS & SERVICES
3022,TECHNOLOGY
3023,HEALTH CARE
3024,INDUSTRIAL PRODUCTS & SERVICES
3025,INDUSTRIAL PRODUCTS & SERVICES
3026,CONSUMER PRODUCTS & SERVICES
3027,INDUSTRIAL PRODUCTS & SERVICES
3028,TECHNOLOGY
3029,INDUSTRIAL PRODUCTS & SERVICES
3030,TECHNOLOGY
3031,INDUSTRIAL PRODUCTS & SERVICES
3032,CONSUMER PRODUCTS & SERVICES
3033,INDUSTRIAL PRODUCTS & SERVICES
3034,INDUSTRIAL PRODUCTS & SERVICES
3036,TECHNOLOGY
3037,CONSUMER PRODUCTS & SERVICES
3038,TECHNOLOGY
3039,TECHNOLOGY
3040,INDUSTRIAL PRODUCTS & SERVICES
3041,TECHNOLOGY
3042,ENERGY
3043,INDUSTRIAL PRODUCTS & SERVICES
3045,TECHNOLOGY
3046,TECHNOLOGY
3047,CONSTRUCTION
3048,CONSUMER PRODUCTS & SERVICES
3049,INDUSTRIAL PRODUCTS & SERVICES
3050,CONSTRUCTION
3051,CONSUMER PRODUCTS & SERVICES
3052,INDUSTRIAL PRODUCTS & SERVICES
3053,CONSUMER PRODUCTS & SERVICES
3054,CONSUMER PRODUCTS & SERVICES
3055,PLANTATION
3056,INDUSTRIAL PRODUCTS & SERVICES
3057,TECHNOLOGY
3069,UTILITIES
3107,INDUSTRIAL PRODUCTS & SERVICES
3158,PROPERTY
3174,PROPERTY
3182,CONSUMER PRODUCTS & SERVICES
3204,CONSTRUCTION
3239,PROPERTY
3247,INDUSTRIAL PRODUCTS & SERVICES
3255,CONSUMER PRODUCTS & SERVICES
3298,INDUSTRIAL PRODUCTS & SERVICES
3301,CONSUMER PRODUCTS & SERVICES
